Period,Total,Price Band,percentage
2010Q2 ,100,"$149,999  - $199,999",26
2010Q3 ,100,"$149,999  - $199,999",26
2010Q4 ,100,"$149,999  - $199,999",25
2011Q1 ,100,"$149,999  - $199,999",22
2011Q2 ,100,"$149,999  - $199,999",23
2011Q3 ,100,"$149,999  - $199,999",23
2011Q4 ,100,"$149,999  - $199,999",23
2012Q1 ,100,"$149,999  - $199,999",20
2012Q2 ,100,"$149,999  - $199,999",21
2012Q3 ,100,"$149,999  - $199,999",20
2012Q4 ,100,"$149,999  - $199,999",19
2013Q1 ,100,"$149,999  - $199,999",18
2013Q2 ,100,"$149,999  - $199,999",17
2013Q3 ,100,"$149,999  - $199,999",20
2013Q4 ,100,"$149,999  - $199,999",20
2014Q1 ,100,"$149,999  - $199,999",17
2014Q2 ,100,"$149,999  - $199,999",17
2014Q3 ,100,"$149,999  - $199,999",16
2014Q4 ,100,"$149,999  - $199,999",15
2015Q1 ,100,"$149,999  - $199,999",15
2015Q2 ,100,"$149,999  - $199,999",16
2015Q3 ,100,"$149,999  - $199,999",15
2015Q4 ,100,"$149,999  - $199,999",12
2016Q1 ,100,"$149,999  - $199,999",13
2016Q2 ,100,"$149,999  - $199,999",14
2016Q3 ,100,"$149,999  - $199,999",13
2016Q4 ,100,"$149,999  - $199,999",13
2017Q1 ,100,"$149,999  - $199,999",11
2017Q2 ,100,"$149,999  - $199,999",10
2017Q3 ,100,"$149,999  - $199,999",11
2017Q4 ,100,"$149,999  - $199,999",8
2018Q1 ,100,"$149,999  - $199,999",9
2018Q2 ,100,"$149,999  - $199,999",11
2018Q3 ,100,"$149,999  - $199,999",8
2018Q4 ,100,"$149,999  - $199,999",8
2019Q1 ,100,"$149,999  - $199,999",8
2019Q2 ,100,"$149,999  - $199,999",8
2019Q3 ,100,"$149,999  - $199,999",8
2019Q4 ,100,"$149,999  - $199,999",7
2020Q1 ,100,"$149,999  - $199,999",8
2020Q2 ,100,"$149,999  - $199,999",8
2020Q3 ,100,"$149,999  - $199,999",6
2020Q4 ,100,"$149,999  - $199,999",4
2021Q1 ,100,"$149,999  - $199,999",3
2021Q2 ,100,"$149,999  - $199,999",1
2021Q3 ,100,"$149,999  - $199,999",1
2021Q4 ,100,"$149,999  - $199,999",1
2022Q1 ,100,"$149,999  - $199,999",1
2022Q2 ,100,"$149,999  - $199,999",1
2022Q3 ,100,"$149,999  - $199,999",(Z)
2022Q4 ,100,"$149,999  - $199,999",1
2023Q1 ,100,"$149,999  - $199,999",1
2023Q2 ,100,"$149,999  - $199,999",1
2023Q3 ,100,"$149,999  - $199,999",(Z)
2002Q1 ,100,"$199,999 - $249,999",15
2002Q2 ,100,"$199,999 - $249,999",14
2002Q3 ,100,"$199,999 - $249,999",14
2002Q4 ,100,"$199,999 - $249,999",13
2003Q1 ,100,"$199,999 - $249,999",13
2003Q2 ,100,"$199,999 - $249,999",14
2003Q3 ,100,"$199,999 - $249,999",13
2003Q4 ,100,"$199,999 - $249,999",13
2004Q1 ,100,"$199,999 - $249,999",16
2004Q2 ,100,"$199,999 - $249,999",15
2004Q3 ,100,"$199,999 - $249,999",14
2004Q4 ,100,"$199,999 - $249,999",16
2005Q1 ,100,"$199,999 - $249,999",16
2005Q2 ,100,"$199,999 - $249,999",16
